popt 1.18-1
portaudio 1:19.6.0-7
procps-ng 3.3.17-1
protobuf 3.15.6-1
psmisc 23.4-1
pulseaudio 14.2-2
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 14.2-2
python 3.9.2-1
python-appdirs 1.4.4-3
python-atspi 2.38.1-1
python-cairo 1.20.0-3
python-chardet 3.0.4-7
python-dbus 1.2.16-3
python-dbus-common 1.2.16-3
python-gobject 3.38.0-3
python-idna 2.10-3
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pbr 5.5.1-3
python-pexpect 4.8.0-3
python-ptyprocess 0.7.0-1
python-pyparsing 2.4.7-3
python-pyxdg 0.26-8
python-requests 2.25.1-1
python-setuptools 1:54.1.1-1
python-six 1.15.0-3
python-urllib3 1.26.3-1
python2 2.7.18-2
python2-appdirs 1.4.4-3
python2-ordered-set 3.1.1-3
python2-packaging 20.9-1
python2-pyparsing 2.4.7-3
python2-setuptools 2:44.1.1-1
python2-six 1.15.0-3
qemu 5.2.0-3
qt5-base 5.15.2-5
qt5-declarative 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-svg 5.15.2-1
qt5-wayland 5.15.2-1
qt5-x11extras 5.15.2-1
raptor 2.0.15-15
rasqal 1:0.9.33-4
rav1e 0.4.0-1
re2 1:20210202-1
readline 8.1.0-2
redland 1:1.0.17-8
rest 0.8.1-3
rhash 1.4.1-1
ripgrep 12.1.1-1
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
ruby 2.7.2-1
ruby-irb 1.3.4-1
ruby-reline 0.2.4-1
rubygems 3.2.13-1
run-parts 4.8.6.1-2
rust 1:1.50.0-2
rygel 1:0.40.1-1
sane 1.0.32-3
sassc 3.6.1-2
sbc 1.5-2
sdl 1.2.15-14
sdl2 2.0.14-1
seabios 1.14.0-1
sed 4.8-1
semver 7.3.4-1
serd 0.30.10-1
shaderc 2020.5-1
shadow 4.8.1-4
shared-color-targets 0.1.7-3
shared-mime-info 2.0+57+gc1d1c70-1
simple-scan 3.38.5-1
slop 7.5-4
smbclient 4.13.5-1
snappy 1.1.8-2
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.2-1
spandsp 0.0.6-3
speech-dispatcher 0.10.2-1
speedtest-cli 2.1.2-3
speex 1.2.0-3
speexdsp 1.2.0-2
spice 0.14.3-3
spice-gtk 0.39-3
spirv-tools 2020.7-1
sqlite 3.34.1-1
sratom 0.6.8-1
srt 1.4.2-1
startup-notification 0.12-7
steam 1.0.0.69-1
sudo 1.9.5.p2-1
suitesparse 5.9.0-1
sushi 3.38.0-1
svt-av1 0.8.6-2
svt-hevc 1.5.0-1
sysfsutils 2.1.1-1
systemd 247.3-1
systemd-libs 247.3-1
systemd-sysvcompat 247.3-1
t1lib 5.1.2-8
taglib 1.12-1
talloc 2.3.2-1
tar 1.34-1
tbb 2020.3-1
tcl 8.6.11-1
tdb 1.4.3-4
telepathy-glib 0.24.2-2
tepl 5.0.1-2
tevent 1:0.10.2-3
texinfo 6.7-3
thin-provisioning-tools 0.9.0-1
totem 3.38.0-1
totem-pl-parser 3.26.5-1
tracker 2.3.6-3
tracker-miners 2.3.5-3
tracker3 3.0.3-1
tracker3-miners 3.0.4-1
tslib 1.22-1
ttf-bitstream-vera 1.10-14
ttf-fira-code 5.2-1
ttf-font-awesome 5.15.2-1
ttf-hanazono 20170904-4
ttf-liberation 2.1.3-1
twolame 0.4.0-2
tzdata 2021a-1
uchardet 0.0.7-1
udisks2 2.9.2-1
unibilium 2.1.0-2
unityhub 2.4.2-3
unzip 6.0-14
upower 0.99.11-3
usbmuxd 1.1.1-1
usbredir 0.8.0-2
usbutils 013-1
util-linux 2.36.2-1
util-linux-libs 2.36.2-1
v4l-utils 1.20.0-1
vcdimager 2.0.1-4
vde2 2.3.2-16
vid.stab 1.1-3
vino 3.22.0+72+g3fe1f12-1
virglrenderer 0.8.2-1
virtualbox 6.1.18-2
virtualbox-host-modules-arch 6.1.18-18
vlc 3.0.12-2
vmaf 1.5.3-1
volume_key 0.3.12-5
vte-common 0.62.3-1
vte3 0.62.3-1
vulkan-icd-loader 1.2.172-1
wavpack 5.4.0-1
wayland 1.19.0-1
wayland-protocols 1.20-1
webkit2gtk 2.30.5-1
webrtc-audio-processing 0.3.1-2
wget 1.21.1-1
which 2.21-5
wildmidi 0.4.3-3
wmctrl 1.07-6
woff2 1.0.2-3
wpebackend-fdo 1.8.0-1
wxgtk-common 3.0.5.1-2
wxgtk3 3.0.5.1-2
x264 3:0.160.r3011.cde9a93-1
x265 3.4-1
xbitmaps 1.1.2-2
xcb-proto 1.14.1-3
